# theta,phi
6.141986566472598774e+00,1.791917536627125163e+00
3.742023336744068729e+00,1.789937385792428781e+00
1.342060107015359938e+00,1.787958107849797695e+00
5.225282184466237823e+00,1.785979693902163712e+00
2.825318954737707333e+00,1.784002135085379637e+00
4.253557250089987085e-01,1.782025422567806716e+00
4.308577802459875983e+00,1.780049547549906519e+00
1.908614572731167636e+00,1.778074501263836593e+00
5.791836650182223600e+00,1.776100274973049675e+00
3.391873420453515031e+00,1.774126859971895787e+00
9.919101907248062400e-01,1.772154247585227438e+00
4.875132268175862649e+00,1.770182429168010163e+00
2.475169038447153635e+00,1.768211396104934385e+00
7.520580871844501081e-02,1.766241139810030170e+00
3.958427886169501253e+00,1.764271651726288415e+00
1.558464656440792462e+00,1.762302923325280268e+00
5.441686733891669903e+00,1.760334946106784093e+00
3.041723504163139857e+00,1.758367711598413763e+00
6.417602744342525423e-01,1.756401211355248515e+00
4.524982351885308951e+00,1.754435436959467909e+00
2.125019122156778462e+00,1.752470380019989671e+00
6.008241199607477157e+00,1.750506032172107984e+00
3.608277969878947555e+00,1.748542385077137551e+00
1.208314740150417288e+00,1.746579430422058321e+00
5.091536817601116205e+00,1.744617159919164218e+00
2.691573587872586160e+00,1.742655565305713639e+00
2.916103581440560588e-01,1.740694638343582845e+00
4.174832435594755253e+00,1.738734370818922903e+00
1.774869205866224986e+00,1.736774754541817511e+00
5.658091283317281395e+00,1.734815781345944163e+00
3.258128053588393858e+00,1.732857443088238192e+00
8.581648238598635903e-01,1.730899731648558593e+00
4.741386901310919555e+00,1.728942638929356068e+00
2.341423671582032462e+00,1.726986156855344845e+00
6.224645749033088649e+00,1.725030277373174270e+00
3.824682519304558603e+00,1.723074992451105070e+00
1.424719289575671288e+00,1.721120294078686497e+00
5.307941367026727697e+00,1.719166174266436586e+00
2.907978137298197208e+00,1.717212625045522856e+00
5.080149075693098926e-01,1.715259638467447667e+00
4.391236985020365857e+00,1.713307206603732924e+00
1.991273755291836034e+00,1.711355321545609209e+00
5.874495832742534951e+00,1.709403975403705145e+00
3.474532603014004906e+00,1.707453160307739637e+00
1.074569373285117591e+00,1.705502868406215677e+00
4.957791450736173999e+00,1.703553091866116809e+00
2.557828221007643510e+00,1.701603822872603811e+00
1.578649912787562504e-01,1.699655053628714496e+00
4.041087068729812160e+00,1.697706776355066172e+00
1.641123839001282336e+00,1.695758983289556987e+00
5.524345916451981253e+00,1.693811666687071282e+00
3.124382686723451208e+00,1.691864818819187155e+00
7.244194569949209406e-01,1.689918431973882917e+00
4.607641534445620302e+00,1.687972498455247994e+00
2.207678304717089812e+00,1.686027010583193153e+00
6.090900382168145555e+00,1.684081960693165625e+00
3.690937152439258462e+00,1.682137341135860664e+00
1.290973922710728639e+00,1.680193144276939110e+00
5.174196000161784603e+00,1.678249362496745611e+00
2.774232770432897510e+00,1.676305988190025076e+00
3.742695407043672984e-01,1.674363013765645114e+00
4.257491618155423652e+00,1.672420431646316707e+00
1.857528388426536115e+00,1.670478234268317319e+00
5.740750465877591857e+00,1.668536414081215113e+00
3.340787236149062256e+00,1.666594963547594732e+00
9.408240064201748298e-01,1.664653875142784401e+00
4.824046083871230906e+00,1.662713141354583257e+00
2.424082854142700860e+00,1.660772754682991348e+00
2.411962441381359026e-02,1.658832707639940285e+00
3.907341701864869510e+00,1.656892992749023907e+00
1.507378472136339687e+00,1.654953602545232272e+00
5.390600549587038159e+00,1.653014529574684310e+00
2.990637319858508558e+00,1.651075766394363598e+00
5.906740901296211321e-01,1.649137305571854561e+00
4.473896167580677208e+00,1.647199139685078251e+00
2.073932937852147163e+00,1.645261261322031654e+00
5.957155015302846301e+00,1.643323663080525687e+00
3.557191785574315812e+00,1.641386337567925846e+00
1.157228555845785989e+00,1.639449277400892191e+00
5.040450633296484462e+00,1.637512475205121776e+00
2.640487403567954861e+00,1.635575923615091076e+00
2.405241738394246209e-01,1.633639615273798418e+00
4.123746251290123510e+00,1.631703542832509513e+00
1.723783021561593465e+00,1.629767698950502108e+00
5.607005099012649652e+00,1.627832076294810637e+00
3.207041869283762114e+00,1.625896667539973972e+00
8.070786395552321801e-01,1.623961465367782298e+00
4.690300717006288700e+00,1.622026462467024421e+00
2.290337487277401163e+00,1.620091651533236865e+00
6.173559564728456905e+00,1.618157025268453175e+00
3.773596334999926860e+00,1.616222576380952791e+00
1.373633105271039767e+00,1.614288297585012355e+00
5.256855182722095954e+00,1.612354181600656355e+00
2.856891952993565909e+00,1.610420221153408216e+00
4.569287232646785379e-01,1.608486408974042492e+00
4.340150800715735002e+00,1.606552737798338404e+00
1.940187570987204513e+00,1.604619200366830478e+00
5.823409648437903208e+00,1.602685789424564522e+00
3.423446418709373162e+00,1.600752497720849377e+00
1.023483188980486069e+00,1.598819318009012447e+00
4.906705266431542256e+00,1.596886243046153453e+00
2.506742036703012211e+00,1.594953265592900404e+00
1.067788069741248264e-01,1.593020378413163796e+00
3.990000884425180860e+00,1.591087574273892580e+00
1.590037654696650815e+00,1.589154845944830363e+00
5.473259732147349510e+00,1.587222186198271157e+00
3.073296502418819465e+00,1.585289587808816014e+00
6.733332726902895304e-01,1.583357043553129229e+00
4.556555350140988558e+00,1.581424546209695636e+00
2.156592120412458513e+00,1.579492088558577256e+00
6.039814197863514700e+00,1.577559663381170596e+00
3.639850968134627163e+00,1.575627263459963068e+00
1.239887738406097117e+00,1.573694881578291849e+00
5.123109815857152860e+00,1.571762510520099632e+00
2.723146586128265767e+00,1.569830143069693484e+00
3.231833563997358882e-01,1.567897772011501267e+00
4.206405433850791908e+00,1.565965390129830048e+00
1.806442204121904815e+00,1.564032990208622742e+00
5.689664281572961002e+00,1.562100565031215860e+00
3.289701051844430513e+00,1.560168107380097702e+00
8.897378221155434197e-01,1.558235610036663887e+00
4.772959899566599162e+00,1.556303065780977102e+00
2.372996669838069561e+00,1.554370467391521959e+00
6.256218747288768256e+00,1.552437807644962975e+00
3.856255517560238211e+00,1.550505079315900758e+00
1.456292287831708165e+00,1.548572275176629542e+00
5.339514365282407304e+00,1.546639387996892712e+00
2.939551135553876815e+00,1.544706410543639663e+00
5.395879058249897220e-01,1.542773335580780891e+00
4.422809983276045465e+00,1.540840155868943961e+00
2.022846753547515863e+00,1.538906864165228816e+00
5.906068830998214558e+00,1.536973453222962860e+00
3.506105601269684513e+00,1.535039915791454934e+00
1.106142371541154468e+00,1.533106244615750624e+00
4.989364448991853607e+00,1.531172432436385122e+00
2.589401219263323117e+00,1.529238471989136983e+00
1.894379895347932108e-01,1.527304356004780761e+00
