,id,x,y,z,rx,ry,rz
32,101846,-0.012119229396480495,-0.010244177589272811,0.08586497920825303,0.262442,3.076045,0.222152
33,101847,-0.004865572663304796,-0.010472206116764974,0.08297794416850235,0.032069,3.045464,0.229825
34,101848,-0.007388995189952747,-0.02066575624566399,0.0720782654819315,0.369479,3.073699,0.22123
35,101849,-0.005460924834791727,-0.02193573269131685,0.08273968780345875,0.108972,3.052527,0.296547
36,101850,-0.0003396749235307691,-0.012764267342020168,0.07838841096935995,-0.063672,3.023657,0.253406
37,101851,-0.00690543006042639,-0.021354941574152103,0.07605085281253812,0.176603,3.059054,0.261585
38,101852,0.0076433076573959695,-0.018234706843560926,0.0872929644219467,-0.254257,-3.058023,-0.25906399999999996
39,101853,0.003015388787013202,-0.012219125773591948,0.08305308932404268,0.158914,3.048542,0.179199
40,101854,-0.014899476231186027,-0.032985117055979916,0.08512993426098894,0.006490000000000001,3.039402,0.205104
41,101855,-0.0028485861603145773,-0.025124448964200574,0.10147038591281954,-1.961552,2.397742,0.103844
42,101856,0.01406099830314685,0.0010091921011115869,0.09989684666766371,-0.988931,2.905153,0.198938
43,101857,0.019676486740464183,-0.02350537321524991,0.09788340628018077,-1.821534,2.523688,0.12030199999999999
44,101858,0.015210201751482518,-0.008581431772276755,0.10570797410832802,-2.083592,2.275777,0.08440700000000001
45,101859,0.022231549401435395,-0.0032630143983555532,0.0997074923285507,-1.5520040000000002,2.6740470000000003,0.204671
46,101860,0.025646041727939353,0.00440167513533894,0.09596455698100692,-1.3931719999999999,2.753909,0.21209899999999998
47,101862,0.011174641977807525,-0.0059170698603959885,0.09362198904661179,-1.722619,2.575742,0.110571
48,101863,0.007950232697937713,-0.0098264374888724,0.1061318732226098,-1.910239,2.434098,0.13747
49,101864,0.04250327356295215,-0.06604964052430218,0.18522364929466162,1.537354,-2.621409,-0.550035
50,101865,-0.031406861297307645,-0.04135384159021442,0.1566647998107877,0.608117,-0.9716889999999999,-0.045794999999999995
53,101869,0.003020186632170842,-0.01405732803489468,0.1159811931954523,-1.7521360000000001,2.5104919999999997,0.230246
54,101870,-0.034935674673548335,-0.04332147808930117,0.11654941806521604,1.172773,-1.9993889999999999,-0.047572
55,101871,0.000162913613971246,-0.015196377952396083,0.10823192466965778,1.2849110000000001,-2.802755,-0.026844
56,101872,0.061920798594998105,-0.0901343608737174,0.17419135241579844,1.138654,-2.7235400000000003,-0.587937
58,102877,0.007720645585590333,-0.006676072903634592,0.10867693341074663,-0.784586,-2.964927,-0.038098
59,102878,0.018328188238219884,-0.0065315016797552914,0.10341111567904471,-2.109818,2.261762,0.031935000000000005
60,102879,-0.003770429256417108,0.0018466679860919119,0.09460419658895991,-0.6071850000000001,-3.028786,-0.03159
61,102880,-0.005981301520467737,-0.021488133932731326,0.10301929849611116,-1.280247,-2.799052,-0.094567
62,102881,0.00048176350856180797,-0.01330744045617321,0.11052892762357248,-2.177597,2.197575,0.076789
63,102882,-0.029302210075577553,-0.021347377737498213,0.09201822862343784,0.79907,-2.449684,0.007645
64,102883,-0.014870737262276966,-0.008944224030338366,0.09921569178034582,-0.387061,-3.0885990000000003,-0.101463
65,102884,-0.014456141199813902,-0.008421046130992753,0.09004078874451837,-1.0194590000000001,-2.867515,-0.09144
66,102885,0.0028041562728864412,-0.010611523998314084,0.08587942275080909,-2.306235,2.043838,0.055955
67,102886,0.000391002942139034,-0.01453528913707209,0.09285986739365447,1.046283,-2.838993,-0.051791
68,102887,-0.00798793863951038,-0.00499884825242808,0.1028910867689111,0.403673,-3.079302,-0.079449
